"","V1","V2"
"1",0,20.0818388269
"2",1,16.296853128
"3",2,20.0826618243
"4",3,22.2770017603
"5",4,18.4678622407
"6",5,17.562475719
"7",6,14.8210944758
"8",7,14.1765823907
"9",8,21.2093504256
"10",9,21.4594400028
"11",10,22.2583937369
"12",11,21.4407010789
"13",12,19.9893832926
"14",13,18.3452301846
"15",14,20.5321570856
"16",15,14.8142730202
"17",16,13.9473639919
"18",17,20.3601811777
"19",18,15.1959612703
"20",19,18.2564926239
"21",20,22.5036413946
"22",21,14.9910701773
"23",22,13.4643538086
"24",23,16.7494642429
"25",24,14.4701825335
"26",25,14.9081730538
"27",26,24.3265452485
"28",27,20.9900615496
"29",28,15.268961706
"30",29,19.8660101269
"31",30,21.2669006922
"32",31,25.0774661093
"33",32,14.8483538558
"34",33,23.3696267209
"35",34,14.7079538387
"36",35,14.0417286855
"37",36,16.3845311
"38",37,14.3266839654
"39",38,15.1854769625
"40",39,13.5731781657
"41",40,22.3407017595
"42",41,19.9017280674
"43",42,13.9422145574
"44",43,13.2394882325
"45",44,19.4273270385
"46",45,15.0123176036
"47",46,25.2893626464
"48",47,18.5783781409
"49",48,17.8520782627
"50",49,13.1830255819
"51",50,21.0949107607
"52",51,14.6141279828
"53",52,18.8056583798
"54",53,15.568444064
"55",54,14.2159174499
"56",55,19.3253442271
"57",56,19.6174880031
"58",57,16.0591039692
"59",58,16.4412669598
"60",59,18.9728450291
"61",60,16.6623473535
"62",61,14.7525580741
"63",62,19.0838953948
"64",63,19.2681477892
"65",64,14.9551627311
"66",65,14.9797970213
"67",66,20.7610393404
"68",67,14.7221178632
"69",68,14.1317921713
"70",69,14.1870461589
"71",70,14.2551307397
"72",71,14.7148197343
"73",72,14.0738452804
"74",73,14.7999567853
"75",74,25.0402485165
"76",75,19.5550882391
"77",76,16.3320214913
"78",77,14.6843512184
"79",78,17.4383448603
"80",79,19.3040678695
"81",80,20.5459084473
"82",81,21.0698156946
"83",82,15.5628191079
"84",83,14.1031627176
"85",84,14.0195491509
"86",85,14.7625508043
"87",86,14.8329727722
"88",87,18.4526718373
"89",88,18.128151156
"90",89,19.6032430511
"91",90,18.2062610424
"92",91,13.5887557766
"93",92,17.8362283449
"94",93,16.9429544866
"95",94,14.956619178
"96",95,16.8653133076
"97",96,16.7270707537
"98",97,14.258541382
"99",98,19.1662088077
"100",99,21.5686145747
"101",100,14.3657908018
"102",101,24.2382659683
"103",102,16.2932689757
"104",103,14.5678187452
"105",104,14.3189199525
"106",105,14.4669994697
"107",106,12.2157061827
"108",107,15.574657352
"109",108,14.3605605005
"110",109,14.5216434645
"111",110,15.4261855183
"112",111,15.3278520586
"113",112,18.3329527816
"114",113,16.6553518653
"115",114,17.295617965
"116",115,13.9320892935
"117",116,14.7882563382
"118",117,14.9898290649
"119",118,11.9182379282
"120",119,15.2799797546
"121",120,19.8433044922
"122",121,18.1848986812
"123",122,16.0046025267
"124",123,16.3637159459
"125",124,14.7223590657
"126",125,14.115679869
"127",126,14.509790952
"128",127,18.0934137494
"129",128,15.1227707622
"130",129,18.2801777872
"131",130,17.3895834094
"132",131,14.3637478641
"133",132,17.7949444201
"134",133,16.9747139109
"135",134,16.4572228882
"136",135,16.479843635
"137",136,13.5839184589
"138",137,17.3014106663
"139",138,16.5606677491
"140",139,14.8324611591
"141",140,14.2975954318
"142",141,19.4433539698
"143",142,14.4683181083
"144",143,14.5079387427
"145",144,14.0485138274
"146",145,16.8291843826
"147",146,15.7018592106
"148",147,14.8837698461
"149",148,14.5007152326
"150",149,12.7839531945
"151",150,12.7287108138
"152",151,14.9143878074
"153",152,14.3313802244
"154",153,15.6719042827
"155",154,13.7811389236
"156",155,14.9621652113
"157",156,11.2534953183
"158",157,14.8866643439
"159",158,14.3283918064
"160",159,13.9068470469
"161",160,13.8743650489
"162",161,16.1673995433
"163",162,14.7743809855
"164",163,20.8470820841
"165",164,15.4758557604
"166",165,14.8423784284
"167",166,14.5695983504
"168",167,14.9478460405
"169",168,14.719520072
"170",169,13.6317651865
"171",170,14.8532477333
"172",171,14.6565117576
"173",172,14.985235635
"174",173,14.9575048422
"175",174,13.3671665972
"176",175,15.9194318661
