"","V1","V2"
"1",0,19.8355415111
"2",1,29.5852774763
"3",2,27.247741083
"4",3,24.9619895646
"5",4,25.2164059319
"6",5,21.9164419237
"7",6,18.2958254962
"8",7,23.7929612221
"9",8,28.6342325025
"10",9,24.7851560927
"11",10,19.8550702695
"12",11,24.7850318775
"13",12,22.6254450958
"14",13,28.6304616763
"15",14,27.8272939464
"16",15,23.8829887536
"17",16,25.8772484869
"18",17,26.3143812305
"19",18,26.3496166648
"20",19,24.6080987013
"21",20,26.154417883
"22",21,15.4107739677
"23",22,24.571309492
"24",23,27.5854244069
"25",24,21.0119569362
"26",25,25.7919206553
"27",26,28.5132409368
"28",27,22.9958030143
"29",28,22.7760067309
"30",29,15.4026673821
"31",30,19.7724349726
"32",31,23.7682770883
"33",32,28.6547160361
"34",33,28.5495798478
"35",34,20.9429638301
"36",35,27.090763902
"37",36,23.9713608661
"38",37,26.3979007812
"39",38,26.6447796118
"40",39,25.8339274462
"41",40,25.9473645265
"42",41,19.4170028357
"43",42,27.1352838938
"44",43,19.0802964542
"45",44,22.6183372191
"46",45,25.3653711938
"47",46,27.4583111411
"48",47,28.1802836138
"49",48,18.1889840585
"50",49,22.309455068
"51",50,21.0190399567
"52",51,20.4956764279
"53",52,17.6541132952
"54",53,27.4646063349
"55",54,24.7798026523
"56",55,27.3825264059
"57",56,21.2210729365
"58",57,28.0159744235
"59",58,22.2802007262
"60",59,18.0909179838
"61",60,22.8472752371
"62",61,24.0995830145
"63",62,22.0401972619
"64",63,23.8663450062
"65",64,11.3887685108
"66",65,19.2053220259
"67",66,21.6499234877
"68",67,24.133228615
"69",68,26.9957175752
"70",69,27.8691768397
"71",70,22.3089991068
"72",71,26.4404031807
"73",72,14.6442078686
"74",73,24.7603996481
"75",74,19.5842240774
"76",75,24.7576047883
"77",76,19.5064837796
"78",77,23.1009464077
"79",78,26.5129315239
"80",79,23.9714173474
"81",80,24.8881301807
"82",81,22.4045831534
"83",82,23.4410571556
"84",83,17.8973152997
"85",84,25.3466036206
"86",85,23.2037297802
"87",86,25.488540482
"88",87,20.9600861372
"89",88,21.878476485
"90",89,27.6545596257
"91",90,19.5992561737
"92",91,27.2086890731
"93",92,27.4790642493
"94",93,17.3581853036
"95",94,23.609108137
"96",95,17.5666491799
"97",96,23.0355932229
"98",97,22.2718789804
"99",98,26.8013980477
"100",99,19.6543173759
"101",100,22.9282132816
"102",101,24.4594430764
"103",102,26.1281998611
"104",103,24.6205524892
"105",104,23.1265795214
"106",105,16.9569144717
"107",106,25.5238662563
"108",107,27.2219433439
"109",108,23.9078605997
"110",109,26.4130846784
"111",110,23.6058966594
"112",111,21.3488170625
"113",112,14.5703392162
"114",113,16.5861574564
"115",114,23.1751579881
"116",115,27.1810810941
"117",116,12.2011010575
"118",117,23.9341032122
"119",118,21.7792296062
"120",119,26.8081467397
"121",120,20.8716566965
"122",121,27.402183176
"123",122,25.0575298143
"124",123,24.3098119059
"125",124,15.3744482177
"126",125,24.58781132
"127",126,22.8064845044
"128",127,23.5460697069
"129",128,23.7639668533
"130",129,25.8330749959
"131",130,21.6128649952
"132",131,23.6321326023
"133",132,23.3535708468
"134",133,22.0434464524
"135",134,27.2456072605
"136",135,22.9008360449
"137",136,20.1741446204
"138",137,23.4854006707
"139",138,26.1031395534
"140",139,19.3736268089
"141",140,23.185699308
"142",141,27.0140196496
"143",142,9.1062930494
"144",143,27.080896759
"145",144,22.2244291703
"146",145,21.5309817704
"147",146,23.6145419233
"148",147,26.7414446539
"149",148,26.0291223123
"150",149,25.8089570424
"151",150,21.2944205911
"152",151,24.3384601876
"153",152,21.5533955651
"154",153,26.6179296207
"155",154,25.8017141196
"156",155,23.2823722016
"157",156,17.3713136595
"158",157,27.0059630532
"159",158,24.4346829556
"160",159,21.1443071321
"161",160,20.7940746581
"162",161,24.3609716417
"163",162,24.5842134806
"164",163,16.4218270317
"165",164,27.1164084437
"166",165,25.1490326252
"167",166,21.0638430103
"168",167,21.8207309947
"169",168,23.9042062359
"170",169,26.6193254462
"171",170,16.3696442579
"172",171,25.8161379118
"173",172,6.848041047
"174",173,14.4471447455
"175",174,27.0432100657
"176",175,14.1429139438
"177",176,25.6280685723
"178",177,24.853601679
"179",178,23.7209516501
"180",179,26.5941906098
"181",180,21.9269528464
"182",181,21.6507781786
"183",182,26.8310416026
"184",183,20.1639785951
"185",184,18.4803643074
"186",185,24.5196461365
"187",186,20.1915152928
"188",187,24.4218505319
"189",188,21.4510465993
"190",189,24.9977316771
"191",190,19.7624291896
"192",191,20.7603238775
"193",192,25.5007891916
"194",193,19.4234633955
"195",194,25.2489034687
"196",195,11.8739994749
"197",196,23.0527323058
"198",197,26.0180209423
"199",198,19.9962475244
"200",199,23.1532484987
"201",200,23.2423814342
"202",201,24.4091557085
"203",202,19.7742074577
"204",203,23.0036657807
"205",204,20.8974315049
"206",205,26.8465858795
"207",206,18.0845621118
"208",207,24.1724730047
"209",208,25.0401303001
"210",209,16.9796651598
"211",210,18.0015415271
"212",211,22.2358216523
"213",212,25.1492466955
"214",213,23.2016248708
"215",214,21.0539021264
"216",215,25.3368332951
"217",216,20.0290771574
"218",217,26.0517471694
"219",218,16.8609310249
"220",219,26.438598679
"221",220,26.4798675907
"222",221,23.5382945122
"223",222,23.2671339427
"224",223,26.2761823738
"225",224,25.9649232905
"226",225,22.9530252506
"227",226,22.667109359
"228",227,26.3112548676
"229",228,23.6888010493
"230",229,22.7543754969
"231",230,25.2572978506
"232",231,19.8322227381
"233",232,23.0333051336
"234",233,13.1520834975
"235",234,26.1948896249
"236",235,21.416308743
"237",236,17.2990104464
"238",237,26.1889143181
"239",238,21.6838457596
"240",239,18.8959915579
"241",240,22.2773803664
"242",241,22.2747008783
"243",242,18.5750980104
"244",243,18.2295797244
"245",244,18.9232722727
"246",245,26.704014698
"247",246,25.8691545201
"248",247,15.6896028595
"249",248,19.6634630656
"250",249,24.6903678613
"251",250,26.3933603229
"252",251,25.8854779318
"253",252,19.1741541897
"254",253,26.5140148029
"255",254,25.0274437782
