"","V1","V2"
"1","19.0.A","29.2334508559"
"2","19.1.A","22.2013412121"
"3","19.2.A","24.9569187137"
"4","19.3.A","21.6242641382"
"5","19.4.A","25.2562027717"
"6","19.5.A","14.8081804191"
"7","19.6.A","28.2095504033"
"8","19.7.A","26.7421182428"
"9","19.8.A","27.3266383174"
"10","19.9.A","24.9852299873"
"11","19.10.A","23.925331772"
"12","19.11.A","18.4442481926"
"13","19.12.A","27.6821645807"
"14","19.13.A","24.1675199786"
"15","19.14.A","28.5735220982"
"16","19.15.A","20.0808168081"
"17","19.16.A","28.2523825063"
"18","19.17.A","28.1706639447"
"19","19.18.A","26.9896952919"
"20","19.19.A","18.5831074719"
"21","19.20.A","23.9509475709"
"22","19.21.A","25.0732431643"
"23","19.22.A","25.0991386952"
"24","19.23.A","16.2403829316"
"25","19.24.A","28.4694036756"
"26","19.25.A","19.9325718074"
"27","19.26.A","16.9730700737"
"28","19.27.A","15.9880612805"
"29","19.28.A","24.6553392183"
"30","19.29.A","23.6135608908"
"31","19.30.A","27.1805940839"
"32","19.31.A","24.9816939149"
"33","19.32.A","18.2229309313"
"34","19.33.A","21.2154101713"
"35","19.34.A","15.5649036606"
"36","19.35.A","10.6297912948"
"37","19.36.A","25.1772157072"
"38","19.37.A","19.9585836001"
"39","19.38.A","19.9686209618"
"40","19.39.A","24.6211007501"
"41","19.40.A","24.0494529257"
"42","19.41.A","24.0915579393"
"43","19.42.A","25.0020704704"
"44","19.43.A","25.1901401562"
"45","19.44.A","27.7293868867"
"46","19.45.A","24.1166884914"
"47","19.46.A","26.6670483496"
"48","19.47.A","26.0608862287"
"49","19.48.A","22.0419434382"
"50","19.49.A","22.6130644843"
"51","19.50.A","21.4770410147"
"52","19.51.A","17.7930066747"
"53","19.52.A","27.2427460942"
"54","19.53.A","20.2138608246"
"55","19.54.A","19.7331206773"
"56","19.55.A","27.3244420666"
"57","19.56.A","22.5159487694"
"58","19.57.A","27.3382120054"
"59","19.58.A","25.923207115"
"60","19.59.A","25.574651411"
"61","19.60.A","25.3497062987"
"62","19.61.A","24.0458615134"
"63","19.62.A","20.211530537"
"64","19.63.A","25.3769174969"
"65","19.64.A","15.879439374"
"66","19.65.A","9.8608364534"
"67","19.66.A","26.0215644516"
"68","19.67.A","25.2709559655"
"69","19.68.A","24.7367677735"
"70","19.69.A","24.2347384221"
"71","19.70.A","19.4979679144"
"72","19.71.A","23.0864731862"
"73","19.72.A","17.2008308461"
"74","19.73.A","19.9858126668"
"75","19.74.A","24.4610312845"
"76","19.75.A","22.2724915533"
"77","19.76.A","19.1176833664"
"78","19.77.A","22.7208634816"
"79","19.78.A","24.9202941076"
"80","19.79.A","22.8829954946"
"81","19.80.A","26.9651034837"
"82","19.81.A","26.5314885993"
"83","19.82.A","13.6565435744"
"84","19.83.A","15.9690296928"
"85","19.84.A","12.9820702597"
"86","19.85.A","18.8682872083"
"87","19.86.A","25.3225629804"
"88","19.87.A","13.1678360586"
"89","19.88.A","21.9745182101"
"90","19.89.A","21.3613894961"
"91","19.90.A","20.5253197072"
"92","19.91.A","25.823926284"
"93","19.92.A","25.3176892448"
"94","19.93.A","24.6810919387"
"95","19.94.A","18.8303427625"
"96","19.95.A","9.0823235434"
"97","19.96.A","5.6279478542"
"98","19.97.A","10.6715615268"
"99","19.98.A","23.8825658822"
"100","19.99.A","25.5952540622"
"101","19.100.A","25.5711024958"
"102","19.101.A","25.8717667643"
"103","19.102.A","17.9823188513"
"104","19.103.A","23.3949077484"
"105","19.104.A","21.963009682"
"106","19.105.A","20.1481584222"
"107","19.106.A","20.8816011557"
"108","19.107.A","25.7350918943"
"109","19.108.A","23.6892164192"
"110","19.109.A","24.7400235714"
"111","19.110.A","25.3619082514"
"112","19.111.A","14.2203889146"
"113","19.112.A","19.8195289571"
"114","19.113.A","24.9362510186"
"115","19.114.A","25.897006053"
"116","19.115.A","22.2153779432"
"117","19.116.A","23.6777914462"
"118","19.117.A","25.2797569599"
"119","19.118.A","20.127927231"
"120","19.119.A","18.093726471"
"121","19.120.A","24.2015716197"
"122","19.121.A","23.673419148"
