"","X","V1","V2"
"201",191,3.19,13.4969834762
"202",192,3.191,14.48683001
"203",193,3.192,5.9225978483
"204",194,3.193,10.0631459679
"205",195,3.194,15.7568149411
"206",196,3.195,15.6825419848
"207",197,3.196,13.1171464075
"208",198,3.197,14.0852157718
"209",199,3.198,11.3403210783
"210",200,3.199,10.2708736738
"211",201,3.2,5.5868774963
"212",202,3.201,11.9679488294
"213",203,3.202,12.9881127919
"214",204,3.203,12.1978685767
"215",205,3.204,6.4742947913
"216",206,3.205,7.9799865678
"217",207,3.206,8.0766410485
"218",208,3.207,11.2061523219
"219",209,3.208,9.8023790462
"220",210,3.209,9.8400088718
"221",211,3.21,8.7213113784
"222",212,3.211,5.8917851094
"223",1,8,21.0013512844
"224",2,8.1,26.9470902908
"225",3,8.2,25.0551163851
"226",4,8.3,22.0833681653
"227",5,8.4,26.1477193104
"228",6,8.5,21.9199617196
"229",7,8.6,23.4443924085
"230",8,8.7,19.3795225924
"231",9,8.8,24.4322725519
"232",10,8.9,22.9078821438
"233",11,8.1,18.9684508196
"234",12,8.11,21.0972377586
"235",13,8.12,26.1040309294
"236",14,8.13,24.478067754
"237",15,8.14,22.2221299412
"238",16,8.15,23.6629679509
"239",17,8.16,20.3636871866
"240",18,8.17,21.5882221838
"241",19,8.18,17.1765600717
"242",20,8.19,19.7744729598
"243",1,10,23.0061776136
"244",2,10.1,20.1034598745
"245",3,10.2,22.9930085193
"246",4,10.3,26.1458526825
"247",5,10.4,18.0457597695
"248",6,10.5,13.0711114012
"249",7,10.6,11.6084785915
"250",8,10.7,12.3820243206
"251",9,10.8,18.8765992319
"252",10,10.9,15.1369237403
"253",1,12,27.8381489413
"254",2,12.1,26.5034871816
"255",3,12.2,22.9898537998
"256",4,12.3,22.6801233694
"257",5,12.4,19.9059870587
"258",6,12.5,22.014389678
"259",7,12.6,16.7258694704
"260",8,12.7,24.4779961382
"261",9,12.8,22.0875402821
"262",10,12.9,21.0477465046
"263",11,12.1,17.0617311669
"264",12,12.11,14.2455675696
"265",13,12.12,12.276396864
"266",14,12.13,18.5151465862
"267",15,12.14,10.1699167346
"268",16,12.15,20.1267934492
"269",17,12.16,10.6169623211
"270",18,12.17,14.0519278248
"271",19,12.18,17.7656708
"272",20,12.19,18.4835617082
"273",21,12.2,15.0018429638
"274",22,12.21,16.9078755294
"275",23,12.22,11.7192980956
"276",24,12.23,14.3269173019
"277",25,12.24,15.5641615617
"278",26,12.25,10.6068424006
"279",27,12.26,9.5226076128
"280",28,12.27,16.690088356
"281",29,12.28,15.5164487385
"282",30,12.29,12.2182924604
"283",31,12.3,12.0341383589
"284",32,12.31,11.9905596202
"285",33,12.32,14.8855559551
"286",1,16,28.0239110029
"287",2,16.1,20.7955974738
"288",3,16.2,15.2061046013
"289",4,16.3,23.6700955065
"290",5,16.4,26.9513755777
"291",6,16.5,13.1947241327
"292",7,16.6,21.6909625419
"293",8,16.7,22.3233393009
"294",9,16.8,23.1585413474
"295",10,16.9,24.0572690741
"296",11,16.1,23.7695805259
"297",12,16.11,21.8072114829
"298",13,16.12,20.3868390371
"299",1,19,29.2334508559
"300",2,19.1,22.2013412121
"301",3,19.2,24.9569187137
"302",4,19.3,21.6242641382
"303",5,19.4,25.2562027717
"304",6,19.5,14.8081804191
"305",7,19.6,28.2095504033
"306",8,19.7,26.7421182428
"307",9,19.8,27.3266383174
"308",10,19.9,24.9852299873
"309",11,19.1,23.925331772
"310",12,19.11,18.4442481926
"311",13,19.12,27.6821645807
"312",14,19.13,24.1675199786
"313",15,19.14,28.5735220982
"314",16,19.15,20.0808168081
"315",17,19.16,28.2523825063
"316",18,19.17,28.1706639447
"317",19,19.18,26.9896952919
"318",20,19.19,18.5831074719
"319",21,19.2,23.9509475709
"320",22,19.21,25.0732431643
"321",23,19.22,25.0991386952
"322",24,19.23,16.2403829316
"323",25,19.24,28.4694036756
"324",26,19.25,19.9325718074
"325",27,19.26,16.9730700737
"326",28,19.27,15.9880612805
"327",29,19.28,24.6553392183
"328",30,19.29,23.6135608908
"329",31,19.3,27.1805940839
"330",32,19.31,24.9816939149
"331",33,19.32,18.2229309313
"332",34,19.33,21.2154101713
"333",35,19.34,15.5649036606
"334",36,19.35,10.6297912948
"335",37,19.36,25.1772157072
"336",38,19.37,19.9585836001
"337",39,19.38,19.9686209618
"338",40,19.39,24.6211007501
"339",41,19.4,24.0494529257
"340",42,19.41,24.0915579393
"341",43,19.42,25.0020704704
"342",44,19.43,25.1901401562
"343",45,19.44,27.7293868867
"344",46,19.45,24.1166884914
"345",47,19.46,26.6670483496
"346",48,19.47,26.0608862287
"347",49,19.48,22.0419434382
"348",50,19.49,22.6130644843
"349",51,19.5,21.4770410147
"350",52,19.51,17.7930066747
"351",53,19.52,27.2427460942
"352",54,19.53,20.2138608246
"353",55,19.54,19.7331206773
"354",56,19.55,27.3244420666
"355",57,19.56,22.5159487694
"356",58,19.57,27.3382120054
"357",59,19.58,25.923207115
"358",60,19.59,25.574651411
"359",61,19.6,25.3497062987
"360",62,19.61,24.0458615134
"361",63,19.62,20.211530537
"362",64,19.63,25.3769174969
"363",65,19.64,15.879439374
"364",66,19.65,9.8608364534
"365",67,19.66,26.0215644516
"366",68,19.67,25.2709559655
"367",69,19.68,24.7367677735
"368",70,19.69,24.2347384221
"369",71,19.7,19.4979679144
"370",72,19.71,23.0864731862
"371",73,19.72,17.2008308461
"372",74,19.73,19.9858126668
"373",75,19.74,24.4610312845
"374",76,19.75,22.2724915533
"375",77,19.76,19.1176833664
"376",78,19.77,22.7208634816
"377",79,19.78,24.9202941076
"378",80,19.79,22.8829954946
"379",81,19.8,26.9651034837
"380",82,19.81,26.5314885993
"381",83,19.82,13.6565435744
"382",84,19.83,15.9690296928
"383",85,19.84,12.9820702597
"384",86,19.85,18.8682872083
"385",87,19.86,25.3225629804
"386",88,19.87,13.1678360586
"387",89,19.88,21.9745182101
"388",90,19.89,21.3613894961
"389",91,19.9,20.5253197072
"390",92,19.91,25.823926284
"391",93,19.92,25.3176892448
"392",94,19.93,24.6810919387
"393",95,19.94,18.8303427625
"394",96,19.95,9.0823235434
"395",97,19.96,5.6279478542
"396",98,19.97,10.6715615268
"397",99,19.98,23.8825658822
"398",100,19.99,25.5952540622
"399",101,19.1,25.5711024958
"400",102,19.101,25.8717667643
"401",103,19.102,17.9823188513
"402",104,19.103,23.3949077484
"403",105,19.104,21.963009682
"404",106,19.105,20.1481584222
"405",107,19.106,20.8816011557
"406",108,19.107,25.7350918943
"407",109,19.108,23.6892164192
"408",110,19.109,24.7400235714
"409",111,19.11,25.3619082514
"410",112,19.111,14.2203889146
"411",113,19.112,19.8195289571
"412",114,19.113,24.9362510186
"413",115,19.114,25.897006053
"414",116,19.115,22.2153779432
"415",117,19.116,23.6777914462
"416",118,19.117,25.2797569599
"417",119,19.118,20.127927231
"418",120,19.119,18.093726471
"419",121,19.12,24.2015716197
"420",122,19.121,23.673419148
"421",123,19.122,16.82928474
"422",124,19.123,17.4335437086
"423",125,19.124,25.8310855322
"424",126,19.125,19.4671145667
"425",127,19.126,23.3190201128
"426",128,19.127,21.6302403321
"427",129,19.128,14.454249028
"428",130,19.129,25.5336290571
"429",131,19.13,25.0054729151
"430",132,19.131,17.236220333
"431",133,19.132,10.0133616223
"432",134,19.133,22.9082283985
"433",135,19.134,20.5556718956
"434",136,19.135,15.7129236346
"435",137,19.136,22.2849519502
"436",138,19.137,25.3441849522
"437",139,19.138,24.1944150673
"438",140,19.139,24.5402153402
"439",141,19.14,24.2850105604
"440",142,19.141,21.8122928715
"441",143,19.142,24.7769801007
"442",144,19.143,23.5567361337
"443",145,19.144,22.7574812555
"444",146,19.145,7.8926177249
"445",147,19.146,22.0323694187
"446",148,19.147,14.6451513263
"447",149,19.148,19.6203452949
"448",150,19.149,15.4852405416
"449",151,19.15,24.2551476288
"450",152,19.151,24.7000018844
"451",153,19.152,23.9884232695
"452",154,19.153,16.6913643258
"453",155,19.154,23.7992248205
"454",156,19.155,20.3888433688
"455",157,19.156,21.1669580798
"456",158,19.157,24.4230886909
"457",159,19.158,10.891112944
"458",160,19.159,15.6209952882
"459",161,19.16,24.9137491268
"460",162,19.161,24.8471950923
"461",163,19.162,21.3481254093
"462",164,19.163,22.758521398
"463",165,19.164,21.2683070341
"464",166,19.165,17.9917176873
"465",167,19.166,19.2239016402
"466",168,19.167,21.5876365018
"467",169,19.168,23.75555509
"468",170,19.169,23.2074419875
"469",171,19.17,24.7511142594
"470",172,19.171,20.7825276451
"471",173,19.172,24.5381683533
"472",174,19.173,18.8510390876
"473",175,19.174,16.7247775436
"474",176,19.175,14.7319935277
"475",177,19.176,20.8713153201
"476",178,19.177,23.4305916835
"477",179,19.178,15.5848434367
"478",180,19.179,24.6334337592
"479",181,19.18,22.687567571
"480",182,19.181,22.6171125572
"481",183,19.182,17.4853366904
"482",184,19.183,19.5745482051
"483",185,19.184,20.2469822612
"484",186,19.185,24.6306321271
"485",187,19.186,24.6375589138
"486",188,19.187,24.8528919469
"487",189,19.188,23.8672789073
"488",190,19.189,21.9186569336
"489",191,19.19,22.8598488892
"490",192,19.191,23.569690719
"491",193,19.192,18.2253340382
"492",194,19.193,23.8025368832
