"","V1","V2"
"1","3.0.A","27.4053208457"
"2","3.1.A","27.6782872936"
"3","3.2.A","23.4575371526"
"4","3.3.A","28.6084355461"
"5","3.4.A","14.8954585112"
"6","3.5.A","20.0127293869"
"7","3.6.A","20.6146663118"
"8","3.7.A","24.4869828533"
"9","3.8.A","24.9179728246"
"10","3.9.A","26.8405530126"
"11","3.10.A","23.6665454567"
"12","3.11.A","26.8317630817"
"13","3.12.A","24.4762752493"
"14","3.13.A","26.4857186208"
"15","3.14.A","12.2701662301"
"16","3.15.A","22.7725954233"
"17","3.16.A","23.4763905448"
"18","3.17.A","19.3667948739"
"19","3.18.A","20.0235668664"
"20","3.19.A","24.0393643554"
"21","3.20.A","15.6390635426"
"22","3.21.A","13.6035096174"
"23","3.22.A","20.870362901"
"24","3.23.A","19.2199593845"
"25","3.24.A","22.8647725417"
"26","3.25.A","18.3819098906"
"27","3.26.A","20.7334647714"
"28","3.27.A","25.5774986022"
"29","3.28.A","21.8777461382"
"30","3.29.A","23.2943559049"
"31","3.30.A","18.0347491864"
"32","3.31.A","23.2413042544"
"33","3.32.A","24.7972904161"
"34","3.33.A","22.0128752947"
"35","3.34.A","6.0294920565"
"36","3.35.A","21.5506734183"
"37","3.36.A","19.3965787431"
"38","3.37.A","17.4800160932"
"39","3.38.A","21.3257849212"
"40","3.39.A","21.9312901463"
"41","3.40.A","23.2646893962"
"42","3.41.A","20.3358235465"
"43","3.42.A","18.3501339754"
"44","3.43.A","17.4640364523"
"45","3.44.A","25.7891733905"
"46","3.45.A","19.8331732526"
"47","3.46.A","23.9921910835"
"48","3.47.A","21.951239824"
"49","3.48.A","22.2415558267"
"50","3.49.A","24.5907773176"
"51","3.50.A","25.2372394324"
"52","3.51.A","22.638348481"
"53","3.52.A","18.4036128507"
"54","3.53.A","22.6404014488"
"55","3.54.A","15.6785798967"
"56","3.55.A","16.9363524398"
"57","3.56.A","24.84511692"
"58","3.57.A","24.1683321616"
"59","3.58.A","15.5252049347"
"60","3.59.A","20.9062703361"
"61","3.60.A","19.3575412065"
"62","3.61.A","24.2499754135"
"63","3.62.A","19.2131734607"
"64","3.63.A","20.3508499474"
"65","3.64.A","19.9776034608"
"66","3.65.A","16.3136335504"
"67","3.66.A","24.8265307246"
"68","3.67.A","21.1798191539"
"69","3.68.A","22.8213101007"
"70","3.69.A","20.1100303881"
"71","3.70.A","19.1312801596"
"72","3.71.A","23.1068448841"
"73","3.72.A","24.7205690015"
"74","3.73.A","15.994269454"
"75","3.74.A","9.9901862619"
"76","3.75.A","19.0712935093"
"77","3.76.A","22.0083803234"
"78","3.77.A","22.6764628778"
"79","3.78.A","24.6243111976"
"80","3.79.A","16.6394825344"
"81","3.80.A","22.0590995839"
"82","3.81.A","21.8859882604"
"83","3.82.A","22.7445367167"
"84","3.83.A","22.5119103424"
"85","3.84.A","23.4016418155"
"86","3.85.A","19.9554481733"
"87","3.86.A","16.7589579465"
"88","3.87.A","23.0630257077"
"89","3.88.A","11.4493192833"
"90","3.89.A","20.3952604715"
"91","3.90.A","18.0771846936"
"92","3.91.A","20.6830112835"
"93","3.92.A","24.2772869776"
"94","3.93.A","17.3108890022"
"95","3.94.A","12.9794456844"
"96","3.95.A","12.0897128553"
"97","3.96.A","13.9587160624"
"98","3.97.A","21.2396769823"
"99","3.98.A","21.4891409329"
"100","3.99.A","21.6246495409"
"101","3.100.A","9.9879498283"
"102","3.101.A","18.5672433662"
"103","3.102.A","21.7868509708"
"104","3.103.A","10.1554873055"
"105","3.104.A","16.6068704193"
"106","3.105.A","22.9642458018"
"107","3.106.A","13.4667523981"
"108","3.107.A","13.9304789754"
"109","3.108.A","18.5875243174"
"110","3.109.A","9.4863972053"
"111","3.110.A","20.9453873272"
"112","3.111.A","19.229773547"
"113","3.112.A","16.493300454"
"114","3.113.A","21.274568752"
"115","3.114.A","20.4711604698"
"116","3.115.A","18.6838693637"
"117","3.116.A","20.7822888976"
"118","3.117.A","12.6615136643"
"119","3.118.A","14.8317881341"
"120","3.119.A","20.9267803496"
"121","3.120.A","11.2872591209"
"122","3.121.A","16.1272730695"
"123","3.122.A","22.9773218265"
"124","3.123.A","21.1377213905"
"125","3.124.A","17.3827586834"
"126","3.125.A","19.5902984317"
"127","3.126.A","13.3557747418"
"128","3.127.A","22.5959647053"
"129","3.128.A","11.1086741375"
"130","3.129.A","12.5307110414"
"131","3.130.A","21.3100433587"
"132","3.131.A","20.9989466201"
"133","3.132.A","21.6596026706"
"134","3.133.A","9.3614829728"
"135","3.134.A","13.6827836102"
"136","3.135.A","11.2924018199"
"137","3.136.A","17.9398509247"
"138","3.137.A","15.7623953492"
"139","3.138.A","21.8728189792"
"140","3.139.A","17.0864001002"
"141","3.140.A","19.909183324"
"142","3.141.A","17.8182636905"
"143","3.142.A","20.3084890219"
"144","3.143.A","20.5853719843"
"145","3.144.A","15.7980619541"
"146","3.145.A","20.7927424478"
"147","3.146.A","5.4462637179"
"148","3.147.A","11.6745979576"
"149","3.148.A","11.3062335797"
"150","3.149.A","8.8017889849"
"151","3.150.A","16.1060944732"
"152","3.151.A","18.8870552005"
"153","3.152.A","18.961625236"
"154","3.153.A","17.3315476261"
"155","3.154.A","15.7691517293"
"156","3.155.A","16.178735157"
"157","3.156.A","19.3993421866"
"158","3.157.A","19.3863669301"
"159","3.158.A","20.9701142815"
"160","3.159.A","18.0126399277"
"161","3.160.A","20.5119846831"
"162","3.161.A","19.2693834767"
"163","3.162.A","14.5383952881"
"164","3.163.A","9.7520698772"
"165","3.164.A","16.6017538672"
"166","3.165.A","19.4575987188"
"167","3.166.A","11.2322464905"
"168","3.167.A","13.8032814504"
"169","3.168.A","14.2538276134"
"170","3.169.A","15.3003180155"
"171","3.170.A","16.8172938571"
"172","3.171.A","16.6681785875"
"173","3.172.A","18.9116451925"
"174","3.173.A","15.7451334416"
"175","3.174.A","12.3579770748"
"176","3.175.A","19.0324194971"
"177","3.176.A","16.8870169893"
"178","3.177.A","17.8839929126"
"179","3.178.A","16.4505034753"
"180","3.179.A","18.9018460673"
"181","3.180.A","11.9723698106"
"182","3.181.A","19.0243277371"
"183","3.182.A","17.3727074202"
"184","3.183.A","15.3851275282"
"185","3.184.A","12.8841722258"
"186","3.185.A","0"
"187","3.186.A","4.6145344623"
"188","3.187.A","17.6391727488"
"189","3.188.A","9.1955142625"
"190","3.189.A","8.4691707438"
"191","3.190.A","13.4969834762"
"192","3.191.A","14.48683001"
"193","3.192.A","5.9225978483"
"194","3.193.A","10.0631459679"
"195","3.194.A","15.7568149411"
"196","3.195.A","15.6825419848"
"197","3.196.A","13.1171464075"
"198","3.197.A","14.0852157718"
"199","3.198.A","11.3403210783"
"200","3.199.A","10.2708736738"
"201","3.200.A","5.5868774963"
"202","3.201.A","11.9679488294"
"203","3.202.A","12.9881127919"
"204","3.203.A","12.1978685767"
"205","3.204.A","6.4742947913"
"206","3.205.A","7.9799865678"
"207","3.206.A","8.0766410485"
"208","3.207.A","11.2061523219"
"209","3.208.A","9.8023790462"
"210","3.209.A","9.8400088718"
"211","3.210.A","8.7213113784"
"212","3.211.A","5.8917851094"
