"","V1","V2"
"1","12.0.A","27.8381489413"
"2","12.1.A","26.5034871816"
"3","12.2.A","22.9898537998"
"4","12.3.A","22.6801233694"
"5","12.4.A","19.9059870587"
"6","12.5.A","22.014389678"
"7","12.6.A","16.7258694704"
"8","12.7.A","24.4779961382"
"9","12.8.A","22.0875402821"
"10","12.9.A","21.0477465046"
"11","12.10.A","17.0617311669"
"12","12.11.A","14.2455675696"
"13","12.12.A","12.276396864"
"14","12.13.A","18.5151465862"
"15","12.14.A","10.1699167346"
"16","12.15.A","20.1267934492"
"17","12.16.A","10.6169623211"
"18","12.17.A","14.0519278248"
"19","12.18.A","17.7656708"
"20","12.19.A","18.4835617082"
"21","12.20.A","15.0018429638"
"22","12.21.A","16.9078755294"
"23","12.22.A","11.7192980956"
"24","12.23.A","14.3269173019"
"25","12.24.A","15.5641615617"
"26","12.25.A","10.6068424006"
"27","12.26.A","9.5226076128"
"28","12.27.A","16.690088356"
"29","12.28.A","15.5164487385"
"30","12.29.A","12.2182924604"
"31","12.30.A","12.0341383589"
"32","12.31.A","11.9905596202"
"33","12.32.A","14.8855559551"
