"","V1","V2"
"1","8.0.A","21.0013512844"
"2","8.1.A","26.9470902908"
"3","8.2.A","25.0551163851"
"4","8.3.A","22.0833681653"
"5","8.4.A","26.1477193104"
"6","8.5.A","21.9199617196"
"7","8.6.A","23.4443924085"
"8","8.7.A","19.3795225924"
"9","8.8.A","24.4322725519"
"10","8.9.A","22.9078821438"
"11","8.10.A","18.9684508196"
"12","8.11.A","21.0972377586"
"13","8.12.A","26.1040309294"
"14","8.13.A","24.478067754"
"15","8.14.A","22.2221299412"
"16","8.15.A","23.6629679509"
"17","8.16.A","20.3636871866"
"18","8.17.A","21.5882221838"
"19","8.18.A","17.1765600717"
"20","8.19.A","19.7744729598"
