"growth.rate","rels.rate","trans.rate","phylo.alpha","phylo.beta","sim.id","xdesign1","xdesign2","xdesign3","xdesign4","xdesign5","conception.alpha_base","formation.hazard.agegapry.numrel_diff","formation.hazard.agegapry.eagerness_diff","birth.boygirlratio","hivtransmission.param.a"
-0.0282913035686577,1.125,0,NA,NA,1,0.660812263953544,0.920838825404644,0.17814660231982,0.172125951032199,0.156418594332146,-2.6871570761626,-0.079161174595356,-0.41092669884009,0.53442519020644,-1.84358140566785
-0.0255760275455259,2.5,0,NA,NA,1,0.660812263953544,0.920838825404644,0.17814660231982,0.172125951032199,0.156418594332146,-2.6871570761626,-0.079161174595356,-0.41092669884009,0.53442519020644,-1.84358140566785
-0.0270070332995847,1.975,0,NA,NA,1,0.660812263953544,0.920838825404644,0.17814660231982,0.172125951032199,0.156418594332146,-2.6871570761626,-0.079161174595356,-0.41092669884009,0.53442519020644,-1.84358140566785
-0.0281752940797452,1.3,0.05,NA,NA,1,0.660812263953544,0.920838825404644,0.17814660231982,0.172125951032199,0.156418594332146,-2.6871570761626,-0.079161174595356,-0.41092669884009,0.53442519020644,-1.84358140566785
-0.0270438792900422,2.25,0,NA,NA,1,0.660812263953544,0.920838825404644,0.17814660231982,0.172125951032199,0.156418594332146,-2.6871570761626,-0.079161174595356,-0.41092669884009,0.53442519020644,-1.84358140566785
-0.0255760275455259,14.05,0.35,1.35402510055111,-0.95344529780426,2,0.48519969630676,0.696686386784893,0.933585878406163,0.121769501849832,0.947385433473669,-3.30180106292634,-0.303313613215107,-0.0332070607969183,0.524353900369966,-1.05261456652633
-0.023895287250911,17.65,1.575,1.35402510055111,-0.95344529780426,2,0.48519969630676,0.696686386784893,0.933585878406163,0.121769501849832,0.947385433473669,-3.30180106292634,-0.303313613215107,-0.0332070607969183,0.524353900369966,-1.05261456652633
-0.026352926219539,18.225,2.25,1.34958805767454,NA,2,0.48519969630676,0.696686386784893,0.933585878406163,0.121769501849832,0.947385433473669,-3.30180106292634,-0.303313613215107,-0.0332070607969183,0.524353900369966,-1.05261456652633
-0.0256108222623465,15.75,1.4,1.35402510055111,-0.95344529780426,2,0.48519969630676,0.696686386784893,0.933585878406163,0.121769501849832,0.947385433473669,-3.30180106292634,-0.303313613215107,-0.0332070607969183,0.524353900369966,-1.05261456652633
-0.0253682701171852,15.825,0.8,1.35402510055111,-0.95344529780426,2,0.48519969630676,0.696686386784893,0.933585878406163,0.121769501849832,0.947385433473669,-3.30180106292634,-0.303313613215107,-0.0332070607969183,0.524353900369966,-1.05261456652633
-0.0281367435709498,6,0.3,1.19687293569551,NA,3,0.369433478685096,0.801934026381267,0.852527695785587,0.920417967573961,0.687915967777371,-3.70698282460216,-0.198065973618733,-0.0737361521072065,0.684083593514792,-1.31208403222263
-0.025890937237668,8.2,0,NA,NA,3,0.369433478685096,0.801934026381267,0.852527695785587,0.920417967573961,0.687915967777371,-3.70698282460216,-0.198065973618733,-0.0737361521072065,0.684083593514792,-1.31208403222263
-0.0278685417649498,9.225,1.125,1.27544901812331,NA,3,0.369433478685096,0.801934026381267,0.852527695785587,0.920417967573961,0.687915967777371,-3.70698282460216,-0.198065973618733,-0.0737361521072065,0.684083593514792,-1.31208403222263
-0.0270438792900422,7.3,0.475,1.30164104559924,NA,3,0.369433478685096,0.801934026381267,0.852527695785587,0.920417967573961,0.687915967777371,-3.70698282460216,-0.198065973618733,-0.0737361521072065,0.684083593514792,-1.31208403222263
-0.027117734587478,8.05,0.25,1.35402510055111,-0.95344529780426,3,0.369433478685096,0.801934026381267,0.852527695785587,0.920417967573961,0.687915967777371,-3.70698282460216,-0.198065973618733,-0.0737361521072065,0.684083593514792,-1.31208403222263
-0.0287608009349477,2.675,0,NA,NA,4,0.0821189948889826,0.374101507843339,0.633034769290437,0.831101497402415,0.799046899513563,-4.71258351788856,-0.625898492156661,-0.183482615354781,0.666220299480483,-1.20095310048644
-0.0270438792900422,4.15,0,NA,NA,4,0.0821189948889826,0.374101507843339,0.633034769290437,0.831101497402415,0.799046899513563,-4.71258351788856,-0.625898492156661,-0.183482615354781,0.666220299480483,-1.20095310048644
-0.0278685417649498,4.6,0,NA,NA,4,0.0821189948889826,0.374101507843339,0.633034769290437,0.831101497402415,0.799046899513563,-4.71258351788856,-0.625898492156661,-0.183482615354781,0.666220299480483,-1.20095310048644
-0.0282139041260295,4.025,0.1,NA,NA,4,0.0821189948889826,0.374101507843339,0.633034769290437,0.831101497402415,0.799046899513563,-4.71258351788856,-0.625898492156661,-0.183482615354781,0.666220299480483,-1.20095310048644
-0.0281752940797452,4.3,0,NA,NA,4,0.0821189948889826,0.374101507843339,0.633034769290437,0.831101497402415,0.799046899513563,-4.71258351788856,-0.625898492156661,-0.183482615354781,0.666220299480483,-1.20095310048644
-0.029078770245142,1.35,0.075,NA,NA,5,0.235415467537851,0.0186361562394138,0.342440957613733,0.64287814155354,0.518124715946171,-4.17604586361752,-0.981363843760586,-0.328779521193134,0.628575628310708,-1.48187528405383
-0.0269702415342982,3.125,0.125,NA,NA,5,0.235415467537851,0.0186361562394138,0.342440957613733,0.64287814155354,0.518124715946171,-4.17604586361752,-0.981363843760586,-0.328779521193134,0.628575628310708,-1.48187528405383
-0.0278304610264368,3.25,0.175,1.19687293569551,NA,5,0.235415467537851,0.0186361562394138,0.342440957613733,0.64287814155354,0.518124715946171,-4.17604586361752,-0.981363843760586,-0.328779521193134,0.628575628310708,-1.48187528405383
