"","V1","V2"
"1","17.0.A","12.9723899425"
"2","17.1.A","6.1764379539"
"3","17.2.A","4.4626857185"
"4","17.3.A","0"
"5","17.4.A","0"
"6","17.5.A","3.7495422124"
"7","17.6.A","5.7302155766"
"8","17.7.A","1.1384426688"
"9","17.8.A","0.1167220739"
"10","17.9.A","0"
"11","17.10.A","2.014737632"
"12","17.11.A","0.131343819100003"
"13","17.12.A","1.606938761"
"14","17.13.A","1.0176271037"
"15","17.14.A","4.7134226115"
"16","17.15.A","2.3092205502"
"17","17.16.A","1.2529178437"
"18","17.17.A","0"
"19","17.18.A","2.2471760371"
"20","17.19.A","0.4543466537"
"21","17.20.A","0"
"22","17.21.A","1.1997860077"
"23","17.22.A","0"
"24","17.23.A","0.428153848699999"
"25","17.24.A","1.4796127418"
"26","17.25.A","0"
"27","17.26.A","1.3448525934"
"28","17.27.A","0"
"29","17.28.A","0.953428262099997"
"30","17.29.A","1.6332985095"
"31","17.30.A","2.3969284579"
"32","17.31.A","0"
"33","17.32.A","0"
"34","17.33.A","0"
"35","17.34.A","0"
"36","17.35.A","0"
"37","17.36.A","2.7903599274"
"38","17.37.A","0"
"39","17.38.A","0"
"40","17.39.A","0"
"41","17.40.A","0"
"42","17.41.A","0.298749661899997"
"43","17.42.A","0"
"44","17.43.A","0"
"45","17.44.A","2.4704848245"
"46","17.45.A","0"
"47","17.46.A","1.6166279135"
"48","17.47.A","0"
"49","17.48.A","0.00208582140000146"
"50","17.49.A","0"
"51","17.50.A","1.7704511044"
"52","17.51.A","1.8371798781"
"53","17.52.A","0"
"54","17.53.A","1.1552126164"
"55","17.54.A","0"
"56","17.55.A","0"
"57","17.56.A","0"
"58","17.57.A","0"
"59","17.58.A","0"
"60","17.59.A","0"
"61","17.60.A","0.599526197300001"
"62","17.61.A","0.997393889400001"
"63","17.62.A","1.0698747304"
"64","17.63.A","0"
"65","17.64.A","0"
"66","17.65.A","0"
"67","17.66.A","0"
"68","17.67.A","0"
"69","17.68.A","0"
"70","17.69.A","0"
"71","17.70.A","2.8881984368"
"72","17.71.A","2.0773774158"
"73","17.72.A","1.5334160477"
"74","17.73.A","0"
"75","17.74.A","0"
"76","17.75.A","0"
"77","17.76.A","0"
"78","17.77.A","0"
"79","17.78.A","0"
"80","17.79.A","0"
"81","17.80.A","0"
"82","17.81.A","0"
"83","17.82.A","0"
"84","17.83.A","0"
"85","17.84.A","0"
"86","17.85.A","0"
"87","17.86.A","1.6574918139"
"88","17.87.A","0"
"89","17.88.A","0"
"90","17.89.A","0"
"91","17.90.A","2.7016395946"
"92","17.91.A","0"
"93","17.92.A","0"
"94","17.93.A","0"
"95","17.94.A","0"
"96","17.95.A","0"
"97","17.96.A","0.0335778449000017"
"98","17.97.A","0"
"99","17.98.A","0"
"100","17.99.A","0"
"101","17.100.A","0"
"102","17.101.A","0"
"103","17.102.A","0"
"104","17.103.A","0"
"105","17.104.A","0"
"106","17.105.A","0"
"107","17.106.A","0"
"108","17.107.A","0"
"109","17.108.A","0"
"110","17.109.A","0.189578921699997"
"111","17.110.A","0"
"112","17.111.A","0"
"113","17.112.A","0"
"114","17.113.A","0"
"115","17.114.A","0"
"116","17.115.A","0"
"117","17.116.A","0"
"118","17.117.A","0"
"119","17.118.A","0"
"120","17.119.A","0"
"121","17.120.A","0"
"122","17.121.A","0"
"123","17.122.A","0"
"124","17.123.A","0"
"125","17.124.A","0"
"126","17.125.A","0"
"127","17.126.A","0"
"128","17.127.A","1.0020939271"
"129","17.128.A","0"
"130","17.129.A","0"
"131","17.130.A","0"
"132","17.131.A","0"
"133","17.132.A","0.590222822599998"
"134","17.133.A","0"
"135","17.134.A","0"
"136","17.135.A","0"
"137","17.136.A","0"
"138","17.137.A","0"
"139","17.138.A","0"
"140","17.139.A","0"
"141","17.140.A","0"
"142","17.141.A","0"
"143","17.142.A","0"
"144","17.143.A","0"
"145","17.144.A","0"
"146","17.145.A","0"
"147","17.146.A","0"
"148","17.147.A","0"
"149","17.148.A","0"
"150","17.149.A","0"
"151","17.150.A","0"
"152","17.151.A","0"
"153","17.152.A","0"
"154","17.153.A","0"
"155","17.154.A","0"
"156","17.155.A","0"
"157","17.156.A","0"
"158","17.157.A","0"
"159","17.158.A","0"
"160","17.159.A","0"
"161","17.160.A","0"
"162","17.161.A","0"
"163","17.162.A","0"
"164","17.163.A","0"
"165","17.164.A","0"
"166","17.165.A","0"
"167","17.166.A","0"
"168","17.167.A","0"
"169","17.168.A","0"
"170","17.169.A","0"
"171","17.170.A","0"
"172","17.171.A","0"
"173","17.172.A","0"
"174","17.173.A","0"
"175","17.174.A","0"
"176","17.175.A","0"
"177","17.176.A","0"
"178","17.177.A","0"
"179","17.178.A","0"
"180","17.179.A","0"
"181","17.180.A","0"
"182","17.181.A","0"
