"growth.rate","rels.rate","trans.rate","sim.id","xdesign1","xdesign2","xdesign3","xdesign4","xdesign5","conception.alpha_base","formation.hazard.agegapry.numrel_diff","formation.hazard.agegapry.eagerness_diff","birth.boygirlratio","hivtransmission.param.a"
-0.0283300933359432,1.125,0,1,0.660812263953544,0.920838825404644,0.17814660231982,0.172125951032199,0.156418594332146,-2.6871570761626,-0.079161174595356,-0.41092669884009,0.53442519020644,-1.84358140566785
-0.0255760275455259,2.475,0,1,0.660812263953544,0.920838825404644,0.17814660231982,0.172125951032199,0.156418594332146,-2.6871570761626,-0.079161174595356,-0.41092669884009,0.53442519020644,-1.84358140566785
-0.0270438792900422,1.95,0,1,0.660812263953544,0.920838825404644,0.17814660231982,0.172125951032199,0.156418594332146,-2.6871570761626,-0.079161174595356,-0.41092669884009,0.53442519020644,-1.84358140566785
-0.0281752940797452,1.3,0.05,1,0.660812263953544,0.920838825404644,0.17814660231982,0.172125951032199,0.156418594332146,-2.6871570761626,-0.079161174595356,-0.41092669884009,0.53442519020644,-1.84358140566785
-0.0270807796657452,2.225,0,1,0.660812263953544,0.920838825404644,0.17814660231982,0.172125951032199,0.156418594332146,-2.6871570761626,-0.079161174595356,-0.41092669884009,0.53442519020644,-1.84358140566785
-0.0275278854721557,1.475,0,1,0.660812263953544,0.920838825404644,0.17814660231982,0.172125951032199,0.156418594332146,-2.6871570761626,-0.079161174595356,-0.41092669884009,0.53442519020644,-1.84358140566785
-0.0280598204333378,2.025,0,1,0.660812263953544,0.920838825404644,0.17814660231982,0.172125951032199,0.156418594332146,-2.6871570761626,-0.079161174595356,-0.41092669884009,0.53442519020644,-1.84358140566785
-0.0268601899992823,1.55,0,1,0.660812263953544,0.920838825404644,0.17814660231982,0.172125951032199,0.156418594332146,-2.6871570761626,-0.079161174595356,-0.41092669884009,0.53442519020644,-1.84358140566785
-0.0266778405402185,1.675,0,1,0.660812263953544,0.920838825404644,0.17814660231982,0.172125951032199,0.156418594332146,-2.6871570761626,-0.079161174595356,-0.41092669884009,0.53442519020644,-1.84358140566785
-0.0270070332995847,1.425,0,1,0.660812263953544,0.920838825404644,0.17814660231982,0.172125951032199,0.156418594332146,-2.6871570761626,-0.079161174595356,-0.41092669884009,0.53442519020644,-1.84358140566785
-0.0254373309345829,14.2,0.35,2,0.48519969630676,0.696686386784893,0.933585878406163,0.121769501849832,0.947385433473669,-3.30180106292634,-0.303313613215107,-0.0332070607969183,0.524353900369966,-1.05261456652633
-0.0240256656428887,17.75,1.575,2,0.48519969630676,0.696686386784893,0.933585878406163,0.121769501849832,0.947385433473669,-3.30180106292634,-0.303313613215107,-0.0332070607969183,0.524353900369966,-1.05261456652633
-0.0266052715487694,18.225,2.25,2,0.48519969630676,0.696686386784893,0.933585878406163,0.121769501849832,0.947385433473669,-3.30180106292634,-0.303313613215107,-0.0332070607969183,0.524353900369966,-1.05261456652633
-0.0257504874300625,15.95,1.425,2,0.48519969630676,0.696686386784893,0.933585878406163,0.121769501849832,0.947385433473669,-3.30180106292634,-0.303313613215107,-0.0332070607969183,0.524353900369966,-1.05261456652633
-0.0253338111179322,15.725,0.8,2,0.48519969630676,0.696686386784893,0.933585878406163,0.121769501849832,0.947385433473669,-3.30180106292634,-0.303313613215107,-0.0332070607969183,0.524353900369966,-1.05261456652633
-0.0255760275455259,15.45,1.75,2,0.48519969630676,0.696686386784893,0.933585878406163,0.121769501849832,0.947385433473669,-3.30180106292634,-0.303313613215107,-0.0332070607969183,0.524353900369966,-1.05261456652633
-0.0250939189413858,15.125,0.4,2,0.48519969630676,0.696686386784893,0.933585878406163,0.121769501849832,0.947385433473669,-3.30180106292634,-0.303313613215107,-0.0332070607969183,0.524353900369966,-1.05261456652633
-0.0250257990082311,15.875,1.075,2,0.48519969630676,0.696686386784893,0.933585878406163,0.121769501849832,0.947385433473669,-3.30180106292634,-0.303313613215107,-0.0332070607969183,0.524353900369966,-1.05261456652633
-0.0250939189413858,16.5,1.725,2,0.48519969630676,0.696686386784893,0.933585878406163,0.121769501849832,0.947385433473669,-3.30180106292634,-0.303313613215107,-0.0332070607969183,0.524353900369966,-1.05261456652633
-0.0249578641838186,17.9,1.15,2,0.48519969630676,0.696686386784893,0.933585878406163,0.121769501849832,0.947385433473669,-3.30180106292634,-0.303313613215107,-0.0332070607969183,0.524353900369966,-1.05261456652633
-0.0281752940797452,6.025,0.3,3,0.369433478685096,0.801934026381267,0.852527695785587,0.920417967573961,0.687915967777371,-3.70698282460216,-0.198065973618733,-0.0737361521072065,0.684083593514792,-1.31208403222263
-0.0257855259781947,8.225,0,3,0.369433478685096,0.801934026381267,0.852527695785587,0.920417967573961,0.687915967777371,-3.70698282460216,-0.198065973618733,-0.0737361521072065,0.684083593514792,-1.31208403222263
-0.0279448777021221,9.2,1.125,3,0.369433478685096,0.801934026381267,0.852527695785587,0.920417967573961,0.687915967777371,-3.70698282460216,-0.198065973618733,-0.0737361521072065,0.684083593514792,-1.31208403222263
-0.0271547442167388,7.275,0.475,3,0.369433478685096,0.801934026381267,0.852527695785587,0.920417967573961,0.687915967777371,-3.70698282460216,-0.198065973618733,-0.0737361521072065,0.684083593514792,-1.31208403222263
-0.0270807796657452,8.25,0.25,3,0.369433478685096,0.801934026381267,0.852527695785587,0.920417967573961,0.687915967777371,-3.70698282460216,-0.198065973618733,-0.0737361521072065,0.684083593514792,-1.31208403222263
