"growth.rate","median.AD","Q1.AD","Q3.AD","prev.men.15.25","prev.men.25.50","ART.cov.15.50","incid.wom.15.30","frac.degreeGT1.wom.15.30","mean.degree","median.degree","Q1.degree","Q3.degree","sim.id","xdesign1","xdesign2","xdesign3","xdesign4","xdesign5","xdesign6","xdesign7","xdesign8","xdesign9","xdesign10","person.eagerness.man.dist.gamma.a","person.eagerness.man.dist.gamma.b","conception.alpha_base","formation.hazard.agegapry.numrel_man","formation.hazard.agegapry.eagerness_diff","formation.hazard.agegapry.gap_factor_man_exp","person.agegap.man.dist.normal.mu","person.agegap.woman.dist.normal.mu","person.agegap.man.dist.normal.sigma","person.agegap.woman.dist.normal.sigma","person.eagerness.woman.dist.gamma.a","person.eagerness.woman.dist.gamma.b","formation.hazard.agegapry.numrel_woman","formation.hazard.agegapry.gap_factor_woman_exp"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.890064712493448,0.97712758742203,0.882268015138805,0.879812511360273,0.918092516317964,0.450213363927556,0.190603995759506,0.749838937636931,0.522111779270926,0.705902862827061,1.79112295373755,58.7420173082117,-1.48255676366687,-0.268262484095618,-0.00819074836820363,-1.00476529967969,0.762415983038023,2.99935575054772,1.28316766890639,1.55885429424059,1.79112295373755,58.7420173082117,-0.268262484095618,-1.00476529967969
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.890064712493448,0.97712758742203,0.882268015138805,0.879812511360273,0.918092516317964,0.450213363927556,0.190603995759506,0.749838937636931,0.522111779270926,0.705902862827061,1.79112295373755,58.7420173082117,-1.48255676366687,-0.268262484095618,-0.00819074836820363,-1.00476529967969,0.762415983038023,2.99935575054772,1.28316766890639,1.55885429424059,1.79112295373755,58.7420173082117,-0.268262484095618,-1.00476529967969
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.890064712493448,0.97712758742203,0.882268015138805,0.879812511360273,0.918092516317964,0.450213363927556,0.190603995759506,0.749838937636931,0.522111779270926,0.705902862827061,1.79112295373755,58.7420173082117,-1.48255676366687,-0.268262484095618,-0.00819074836820363,-1.00476529967969,0.762415983038023,2.99935575054772,1.28316766890639,1.55885429424059,1.79112295373755,58.7420173082117,-0.268262484095618,-1.00476529967969
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.890064712493448,0.97712758742203,0.882268015138805,0.879812511360273,0.918092516317964,0.450213363927556,0.190603995759506,0.749838937636931,0.522111779270926,0.705902862827061,1.79112295373755,58.7420173082117,-1.48255676366687,-0.268262484095618,-0.00819074836820363,-1.00476529967969,0.762415983038023,2.99935575054772,1.28316766890639,1.55885429424059,1.79112295373755,58.7420173082117,-0.268262484095618,-1.00476529967969
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.890064712493448,0.97712758742203,0.882268015138805,0.879812511360273,0.918092516317964,0.450213363927556,0.190603995759506,0.749838937636931,0.522111779270926,0.705902862827061,1.79112295373755,58.7420173082117,-1.48255676366687,-0.268262484095618,-0.00819074836820363,-1.00476529967969,0.762415983038023,2.99935575054772,1.28316766890639,1.55885429424059,1.79112295373755,58.7420173082117,-0.268262484095618,-1.00476529967969
0.0171782277058596,2.9633461264,0.7695,5.336,0.382239382239382,0.65158371040724,0.236162361623616,0.145381490622415,0.333333333333333,1.47222222222222,1,1,2,2,0.487676612401847,0.915206983422861,0.328101779840188,0.0649243405519519,0.871446744062472,0.984969357035123,0.725974084093468,0.358029608795187,0.11307662838744,0.132650260986062,1.02658556356351,55.3363840882573,-2.81255572838355,-1.40910592322727,-0.0128553255937528,-0.416533707261365,2.90389633637387,1.43211843518075,0.66961494258116,0.698975391479093,1.02658556356351,55.3363840882573,-1.40910592322727,-0.416533707261365
0.0179215926794315,3.09509369535,0.848,5.544,0.467811158798283,0.653508771929825,0.214669051878354,0.130853746464355,0.574074074074074,2.01851851851852,2,1,2,2,0.487676612401847,0.915206983422861,0.328101779840188,0.0649243405519519,0.871446744062472,0.984969357035123,0.725974084093468,0.358029608795187,0.11307662838744,0.132650260986062,1.02658556356351,55.3363840882573,-2.81255572838355,-1.40910592322727,-0.0128553255937528,-0.416533707261365,2.90389633637387,1.43211843518075,0.66961494258116,0.698975391479093,1.02658556356351,55.3363840882573,-1.40910592322727,-0.416533707261365
0.0171404728534788,2.9296697862,0.2763,5.469,0.394849785407725,0.665071770334928,0.250453720508167,0.1969384926174,0.552631578947368,2.28947368421053,2,1,3,2,0.487676612401847,0.915206983422861,0.328101779840188,0.0649243405519519,0.871446744062472,0.984969357035123,0.725974084093468,0.358029608795187,0.11307662838744,0.132650260986062,1.02658556356351,55.3363840882573,-2.81255572838355,-1.40910592322727,-0.0128553255937528,-0.416533707261365,2.90389633637387,1.43211843518075,0.66961494258116,0.698975391479093,1.02658556356351,55.3363840882573,-1.40910592322727,-0.416533707261365
0.0167725392903156,2.9095386051,0.4831,5.596,0.421800947867299,0.7125,0.230357142857143,0.183724157640067,0.414634146341463,1.5609756097561,1,1,2,2,0.487676612401847,0.915206983422861,0.328101779840188,0.0649243405519519,0.871446744062472,0.984969357035123,0.725974084093468,0.358029608795187,0.11307662838744,0.132650260986062,1.02658556356351,55.3363840882573,-2.81255572838355,-1.40910592322727,-0.0128553255937528,-0.416533707261365,2.90389633637387,1.43211843518075,0.66961494258116,0.698975391479093,1.02658556356351,55.3363840882573,-1.40910592322727,-0.416533707261365
0.0134415569429888,3.2353065785,1.006,5.863,0.349514563106796,0.661764705882353,0.234513274336283,0.137627704997667,0.387755102040816,1.75510204081633,1,1,2,2,0.487676612401847,0.915206983422861,0.328101779840188,0.0649243405519519,0.871446744062472,0.984969357035123,0.725974084093468,0.358029608795187,0.11307662838744,0.132650260986062,1.02658556356351,55.3363840882573,-2.81255572838355,-1.40910592322727,-0.0128553255937528,-0.416533707261365,2.90389633637387,1.43211843518075,0.66961494258116,0.698975391479093,1.02658556356351,55.3363840882573,-1.40910592322727,-0.416533707261365
