"","V1","V2"
"1",0,27.8381489413
"2",1,26.5034871816
"3",2,22.9898537998
"4",3,22.6801233694
"5",4,19.9059870587
"6",5,22.014389678
"7",6,16.7258694704
"8",7,24.4779961382
"9",8,22.0875402821
"10",9,21.0477465046
"11",10,17.0617311669
"12",11,14.2455675696
"13",12,12.276396864
"14",13,18.5151465862
"15",14,10.1699167346
"16",15,20.1267934492
"17",16,10.6169623211
"18",17,14.0519278248
"19",18,17.7656708
"20",19,18.4835617082
"21",20,15.0018429638
"22",21,16.9078755294
"23",22,11.7192980956
"24",23,14.3269173019
"25",24,15.5641615617
"26",25,10.6068424006
"27",26,9.5226076128
"28",27,16.690088356
"29",28,15.5164487385
"30",29,12.2182924604
"31",30,12.0341383589
"32",31,11.9905596202
"33",32,14.8855559551
